"","id","progress","leo","duration_in_seconds","finished","recorded_date","age","gend","aian","asian","black","nhpi","white","ethnicity","year_position","year_field","ooas1","ooas2","ooas3","ooas4","ooas5","ooas6","narrcb1","narrcb2","narrcb3","narrcb4","mhl1","mhl2","mhl3","mhl4","burnout1","burnout2","burnout3","burnout4","burnout5","burnout6","burnout7","burnout8","burnout9"
"1605","-99","-99","1","878","-99","2022-06-17T11:38:52Z","22","-99","0","0","0","0","White","-99",2,3,"3","3","2","NA","2","4","3","3","2","","4","2","2","2","6","6","5","4","5","6","5","","1"
"1005","2","100","0","782","TRUE","2022-01-20T19:38:47Z","22","Man","0","0","0","0","White","Non-Hispanic",0,5,"4","NA","3","3","1","4","3","2","3","1","5","","5","5","","7","7","7","","6","6","6","6"
"1540","3","100","1","1493","-99","2022-05-30T12:58:46Z","-99","-99","0","0","0","-99","-99","-99",2,-99,"NA","2","NA","2","NA","3","2","NA","2","3","2","2","4","4","2","1","1","2","1","1","7","","7"
"1853","4","100","1","-99","TRUE","2022-11-10T02:20:23Z","61","Man","0","0","0","0","-99","Non-Hispanic",9,11,"2","NA","2","2","2","NA","3","3","3","3","3","","4","4","2","","2","2","","","5","6","5"
"863","5","100","0","715","TRUE","-99","52","Man","0","-99","0","0","White","Non-Hispanic",-99,1,"NA","NA","1","NA","NA","NA","1","1","1","","1","","5","5","5","4","","1","1","1","3","4","4"
"1137","6","100","-99","1087","-99","-99","37","Man","0","0","0","0","White","Non-Hispanic",-99,-99,"3","2","2","2","2","4","2","3","1","","4","1","4","4","4","2","2","5","","2","4","2","2"
"94","7","-99","-99","728","TRUE","2021-04-23T13:07:51Z","21","Man","0","0","0","-99","White","Non-Hispanic",-99,-99,"1","2","2","2","1","4","2","NA","2","2","2","1","5","5","3","","1","1","1","1","7","5","7"
"583","8","100","1","1592","-99","2022-08-29T13:18:15Z","-99","Woman","0","0","0","0","0","Non-Hispanic",4,3,"2","2","1","2","2","4","2","2","1","2","3","","5","4","5","5","","5","1","1","2","4",""
"1663","9","100","1","748","-99","2022-07-11T15:06:20Z","49","Woman","0","-99","0","0","White","Non-Hispanic",7,11,"NA","2","NA","3","1","4","2","NA","","1","3","2","4","3","2","2","","2","1","2","","6",""
"1554","10","100","1","632","TRUE","2022-06-01T09:15:48Z","22","Man","0","0","0","0","White","Non-Hispanic",0,4,"2","3","4","NA","NA","4","2","2","","2","4","4","4","4","","7","6","6","6","6","6","6","6"
"1973","11","100","1","712","TRUE","2022-12-16T12:35:19Z","-99","Man","0","0","-99","0","White","Non-Hispanic",2,2,"NA","NA","NA","NA","4","4","3","3","1","4","5","2","3","2","7","7","5","7","","1","2","4","2"
"1163","12","100","0","828","TRUE","2022-09-02T18:23:51Z","25","Man","0","0","0","0","-99","Non-Hispanic",-99,3,"2","2","2","NA","NA","3","3","3","","3","3","1","4","3","1","","1","1","2","1","6","5",""
"49","13","100","1","-99","-99","2021-03-10T14:28:33Z","-99","-99","0","0","0","0","White","Non-Hispanic",-99,35,"3","3","2","3","NA","NA","NA","3","3","2","3","1","","4","3","3","3","7","3","2","2","","5"
"1369","-99","-99","1","670","TRUE","2022-05-10T18:18:46Z","35","Man","0","0","-99","0","White","-99",-99,-99,"2","NA","2","4","2","2","3","3","","2","","3","2","2","1","4","3","3","2","4","3","2","5"
"865","15","100","0","552","TRUE","2021-05-10T14:11:51Z","21","Man","0","0","0","0","White","Non-Hispanic",7,15,"NA","2","2","2","2","NA","3","3","","2","3","2","4","","3","4","1","2","1","1","","4","4"
"829","-99","100","0","594","TRUE","2020-12-09T15:25:04Z","22","Woman","0","0","0","0","White","Non-Hispanic",1.5,2,"3","2","1","3","2","3","4","4","3","","5","3","2","","5","","1","4","1","1","3","7","7"
"380","17","100","1","-99","TRUE","2022-04-14T14:19:57Z","54","-99","0","0","0","0","White","Non-Hispanic",-99,29,"2","2","2","3","2","3","3","3","3","3","3","2","4","4","2","2","2","7","2","1","3","4","4"
"534","18","-99","1","1098","-99","-99","27","Woman","0","0","0","0","White","Non-Hispanic",5,5,"3","2","4","3","4","3","2","3","4","2","","4","4","5","3","4","","4","2","","6","",""
"455","19","100","1","910","TRUE","2022-07-14T18:12:13Z","-99","-99","0","-99","0","0","White","Non-Hispanic",0,0,"NA","2","3","2","3","NA","3","3","2","2","","4","3","3","2","","1","","1","","2","5","6"
"1781","20","100","1","968","TRUE","2022-10-14T16:59:01Z","38","Man","-99","0","-99","0","White","Non-Hispanic",-99,13,"2","3","1","3","2","3","4","4","4","4","3","3","","3","2","2","2","2","2","1","2","3","4"
"800","21","100","1","1408","TRUE","2022-12-01T14:19:56Z","37","Man","0","0","-99","Hawaiian/ Pacific Islander","0","-99",-99,10,"3","2","NA","NA","NA","3","3","3","2","","2","2","5","5","5","5","4","5","","","4","","3"
"506","22","100","1","976","TRUE","-99","-99","Man","-99","0","0","0","White","Non-Hispanic",3.5,3.5,"2","2","2","3","2","3","3","3","","2","2","2","","4","3","2","1","4","1","1","3","4","2"
"280","23","100","1","1276","TRUE","2021-12-09T16:20:58Z","43","Man","0","0","0","-99","White","Non-Hispanic",2,-99,"NA","NA","NA","3","NA","3","2","NA","3","2","3","2","4","4","4","4","3","7","2","1","","6","2"
"1111","24","-99","0","982","TRUE","-99","44","Man","0","-99","0","0","-99","Non-Hispanic",9,-99,"2","NA","2","3","2","3","NA","2","","2","3","2","4","","1","1","1","1","1","1","6","6","6"
"1566","25","100","1","676","-99","2022-06-01T20:32:46Z","22","Man","0","0","0","0","-99","-99",3,-99,"3","4","2","3","2","4","2","3","2","2","4","","","4","7","7","7","7","1","1","","7","7"
"1956","26","100","-99","1096","TRUE","2022-12-13T16:13:26Z","-99","Woman","0","0","0","0","White","-99",0,0,"NA","1","2","2","2","4","3","3","2","2","3","2","3","4","5","5","","3","1","1","","","5"
"1867","27","100","1","5724","TRUE","-99","-99","-99","0","0","0","0","White","-99",1.5,6,"3","2","1","2","2","4","NA","3","3","3","1","1","5","5","4","1","2","3","","","","7","7"
"146","28","100","1","761","TRUE","2021-09-14T14:09:07Z","28","Man","0","0","0","0","-99","Non-Hispanic",1,-99,"NA","4","4","4","2","4","4","4","","4","2","","5","5","","1","","1","1","1","2","2","2"
"1224","29","100","-99","474","TRUE","2022-03-10T19:47:28Z","30","Woman","0","0","0","0","White","Non-Hispanic",2,-99,"1","1","1","1","1","1","1","1","1","1","3","3","3","","","7","7","7","7","","7","7","7"
"1696","30","100","1","1472","TRUE","2022-07-28T15:53:30Z","44","-99","-99","0","0","0","White","Non-Hispanic",7,20,"3","2","2","2","2","3","2","3","3","3","3","2","","3","4","1","2","2","1","","","",""
"2003","31","100","1","974","TRUE","2022-12-18T17:19:22Z","-99","Man","0","0","0","0","White","Non-Hispanic",2,21,"NA","3","2","3","2","3","NA","NA","","","4","4","","4","7","7","7","7","3","","","4",""
"1664","-99","100","-99","-99","TRUE","2022-07-11T16:25:54Z","-99","Man","0","-99","-99","0","White","Non-Hispanic",4,8,"NA","1","1","3","1","4","1","1","","","1","","","5","1","1","1","1","1","1","1","","7"
"934","33","-99","-99","727","TRUE","2021-09-22T14:14:12Z","-99","Man","0","0","-99","0","White","Non-Hispanic",11,20,"NA","3","2","3","2","3","4","NA","","2","3","3","3","3","4","4","2","2","1","1","2","3","3"
"285","34","100","1","1352","TRUE","2021-12-09T16:27:07Z","48","Man","0","0","0","0","White","Non-Hispanic",20,-99,"NA","2","2","3","1","4","3","2","2","2","","1","","5","6","2","1","2","1","1","7","7",""
"1127","35","-99","0","6080","-99","2022-08-05T19:54:41Z","28","Man","0","-99","0","0","White","Non-Hispanic",4,7,"3","NA","2","NA","2","3","3","2","","2","2","2","","4","1","1","2","1","1","1","6","7","7"
"855","36","100","0","920","-99","2021-01-27T14:55:47Z","47","Woman","Native American/ Alaskan","0","0","0","White","-99",1,17,"1","1","1","1","1","4","2","2","2","","4","","","5","6","4","2","5","","","7","7","7"
"522","37","100","1","-99","TRUE","2022-08-22T13:18:52Z","34","Man","0","0","0","0","White","Non-Hispanic",5,5,"4","4","NA","NA","4","3","4","4","4","4","3","","","3","4","4","4","","1","1","1","","2"
"870","-99","100","0","-99","-99","2021-05-10T14:19:03Z","-99","Man","-99","0","0","0","White","Non-Hispanic",3,31,"2","2","2","2","2","3","2","2","2","2","3","2","3","4","4","5","4","7","1","2","2","3","2"
"1246","-99","100","-99","1016","TRUE","-99","44","Man","-99","-99","0","0","-99","Non-Hispanic",-99,22,"1","1","2","2","1","NA","1","1","1","1","2","1","4","5","2","2","","","1","2","4","5","6"
"742","40","100","-99","1186","TRUE","2022-11-04T14:26:52Z","37","Man","0","0","0","0","White","Non-Hispanic",0,2,"4","1","2","2","2","4","2","2","2","2","2","1","","5","","2","2","4","1","2","3","2","2"
"475","41","100","1","611","TRUE","2022-08-01T13:11:14Z","-99","Man","0","-99","0","0","White","Non-Hispanic",22,22,"2","2","NA","NA","4","3","4","NA","3","4","2","","","2","7","7","5","5","","4","4","","4"
"1081","42","100","0","989","TRUE","2022-04-18T14:49:00Z","46","Man","0","0","0","-99","White","Non-Hispanic",-99,10,"3","1","1","3","2","NA","3","3","2","3","2","5","4","4","3","2","2","4","2","2","4","3",""
"674","43","100","1","-99","TRUE","2022-10-12T13:19:16Z","-99","Man","0","0","0","0","White","Non-Hispanic",-99,3,"3","2","2","3","2","3","NA","3","2","2","4","2","2","4","4","4","2","5","5","4","2","","5"
"925","44","100","0","-99","TRUE","2021-07-21T14:55:50Z","50","-99","0","-99","0","0","White","Non-Hispanic",20,30,"NA","3","NA","3","NA","3","4","NA","4","2","2","2","4","4","2","2","2","5","1","1","3","3",""
"830","45","100","0","1052","TRUE","2020-12-09T15:25:39Z","30","Woman","0","0","-99","-99","-99","Non-Hispanic",0,0,"2","3","NA","2","2","4","2","3","","2","3","3","","3","1","7","","1","1","1","1","7","7"
"73","46","-99","1","-99","TRUE","2021-03-12T17:04:45Z","-99","-99","0","-99","0","0","White","Non-Hispanic",3,21,"4","2","NA","4","4","3","4","4","4","4","3","2","4","4","2","2","2","","1","","5","5","5"
"1959","47","100","1","976","TRUE","2022-12-13T20:39:02Z","37","Man","-99","0","0","0","White","Non-Hispanic",0,-99,"1","3","3","3","1","4","2","3","2","1","1","2","4","4","2","1","1","","1","","6","6","6"
"1448","48","100","-99","1245","TRUE","2022-05-19T12:42:43Z","52","Man","-99","0","0","-99","White","Non-Hispanic",6,26,"2","2","2","2","2","3","2","3","2","2","3","1","4","4","6","5","","4","3","","5","5","7"
"659","49","100","1","862","-99","-99","44","Man","0","0","African American / Black","0","-99","-99",-99,-99,"3","3","3","3","3","3","3","3","","","3","3","3","3","4","4","4","4","4","1","","4","3"
"392","50","100","1","-99","TRUE","-99","-99","Man","0","-99","0","0","White","Non-Hispanic",0,0,"2","NA","3","3","2","NA","3","NA","2","2","4","1","5","5","1","","1","","1","1","6","7","7"
"1082","51","100","0","1217","TRUE","2022-04-18T14:52:40Z","35","-99","0","0","0","0","White","Non-Hispanic",7,13,"3","2","2","3","2","NA","3","3","3","2","4","2","3","4","2","2","1","1","1","","3","6",""
"1874","-99","100","-99","1072","TRUE","2022-11-19T06:20:30Z","23","Man","0","0","0","0","White","Non-Hispanic",1,3,"3","2","1","4","NA","4","4","NA","","","4","","3","3","2","3","2","","1","2","1","",""
"1795","53","100","1","1721","TRUE","2022-10-19T19:43:13Z","56","-99","0","0","-99","0","-99","Non-Hispanic",1,38,"1","2","1","2","NA","4","2","2","","2","2","2","","4","","1","1","1","1","1","4","7","7"
"410","-99","100","1","1724","TRUE","-99","35","Man","0","0","-99","0","0","Non-Hispanic",1,9,"2","2","2","2","2","3","2","3","","2","2","","5","5","","2","","2","1","1","2","2",""
"158","55","100","1","714","TRUE","-99","28","Man","0","-99","0","0","-99","Non-Hispanic",-99,3,"3","2","2","3","3","3","4","4","3","3","2","2","4","4","4","2","2","2","2","","4","4","4"
"50","56","100","1","-99","TRUE","2021-03-10T14:30:26Z","23","Woman","-99","0","-99","0","White","-99",-99,2.5,"4","2","2","NA","2","4","4","4","3","2","4","4","4","","2","2","2","4","1","1","1","5",""
"1667","57","-99","1","7668","TRUE","-99","33","Man","0","0","-99","-99","White","-99",4,-99,"1","NA","1","3","1","NA","1","1","","1","3","3","5","4","2","1","1","1","","1","5","7",""
"761","-99","100","1","809","-99","2022-11-14T14:07:52Z","57","Man","0","0","0","-99","-99","Non-Hispanic",-99,30,"NA","2","2","3","3","3","NA","2","2","2","","","","4","2","2","1","2","1","1","1","3","3"
"1841","59","100","1","1321","TRUE","-99","25","Man","0","0","0","0","-99","-99",0,-99,"NA","NA","2","3","2","NA","4","3","3","","3","","4","","2","","1","1","1","1","7","7","5"
"883","60","-99","0","632","TRUE","2021-07-07T14:09:43Z","29","Man","0","0","0","0","-99","-99",5,6,"3","NA","3","NA","NA","3","3","3","3","3","","2","","4","1","1","2","2","1","1","5","7",""
"330","61","-99","1","1356","TRUE","-99","-99","-99","0","0","0","0","White","Non-Hispanic",25,25,"NA","NA","NA","NA","4","4","3","2","3","4","","2","5","","6","5","2","7","2","2","6","","7"
"718","62","100","1","795","TRUE","2022-10-26T13:12:29Z","-99","Woman","0","0","0","0","White","Hispanic",-99,-99,"2","2","1","NA","2","4","2","2","","2","","1","5","5","","4","4","4","1","2","4","4","4"
"606","63","100","1","984","TRUE","-99","-99","-99","-99","0","African American / Black","0","0","Non-Hispanic",0,17,"3","2","2","2","2","4","3","2","2","2","3","","3","3","4","","4","","4","4","1","4","2"
"2058","64","-99","1","877","TRUE","2022-12-27T17:03:39Z","-99","Woman","-99","0","-99","-99","White","Non-Hispanic",-99,20,"2","2","2","3","2","4","2","3","2","2","","2","4","4","4","2","2","2","1","1","","4","6"
"467","65","100","1","1196","TRUE","2022-07-20T13:22:03Z","24","Man","0","0","0","0","White","Hispanic",0,1,"3","NA","3","4","2","4","NA","3","2","3","3","","","5","4","4","3","2","1","1","5","2","7"
"748","66","100","1","781","TRUE","-99","-99","Woman","-99","-99","0","0","White","Non-Hispanic",0,-99,"2","2","2","2","NA","NA","3","NA","2","2","3","2","4","5","2","1","1","1","","1","1","1","1"
"265","-99","100","1","485","TRUE","2021-12-09T16:09:41Z","-99","Man","0","0","0","0","-99","Non-Hispanic",-99,0,"NA","2","NA","2","2","4","NA","3","3","1","","4","4","4","5","5","","5","5","6","6","6","5"
"80","68","-99","1","1819","-99","2021-03-12T21:35:15Z","-99","Man","0","0","0","0","White","Non-Hispanic",3,3,"2","2","2","3","2","3","NA","3","3","","","2","4","2","1","1","1","","1","1","1","5","5"
"532","-99","100","1","1004","-99","-99","-99","Man","0","0","0","0","White","Non-Hispanic",2,-99,"3","NA","2","4","NA","2","3","NA","2","4","3","","","4","4","","","4","2","","4","4",""
"505","70","100","1","973","TRUE","-99","30","Man","0","0","0","0","White","-99",2,2,"4","1","1","3","1","4","1","NA","1","1","1","","4","5","4","1","2","2","1","1","6","4","3"
"1590","71","100","1","745","-99","2022-06-14T11:30:24Z","52","Man","0","0","0","-99","White","Hispanic",14,20,"2","2","2","2","2","3","3","3","2","","4","3","","3","5","5","3","2","2","1","1","1","1"
