"","id","progress","leo","duration_in_seconds","finished","recorded_date","age","gend","aian","asian","black","nhpi","white","ethnicity","year_position","year_field","ooas1","ooas2","ooas3","ooas4","ooas5","ooas6","narrcb1","narrcb2","narrcb3","narrcb4","mhl1","mhl2","mhl3","mhl4","burnout1","burnout2","burnout3","burnout4","burnout5","burnout6","burnout7","burnout8","burnout9"
"451",1,100,1,1547,TRUE,"2022-07-12T18:26:45Z",23,"Man","0","0","0","0","White","Non-Hispanic",2,2,4,4,4,4,2,4,4,4,2,3,3,3,4,3,2,2,2,6,1,4,2,5,5
"646",2,100,1,1356,TRUE,"2022-10-03T13:21:23Z",NA,"Woman","Native American/ Alaskan","0","0","0","0","Non-Hispanic",2,3,3,2,1,2,2,3,4,3,2,3,3,1,4,4,4,4,3,4,1,1,1,7,5
"560",3,100,1,1155,TRUE,"2022-08-26T13:24:06Z",24,"Man","0","0","0","0","White","Non-Hispanic",0,0,2,1,1,2,2,4,3,3,2,3,2,2,5,4,4,4,2,5,1,1,4,7,6
"59",4,100,1,874,TRUE,"2021-03-10T21:28:33Z",27,"Man","0","0","0","0","White","Non-Hispanic",0,1,3,3,2,3,2,3,4,3,3,4,3,5,3,3,1,1,1,7,1,1,1,1,1
"22",5,100,1,822,TRUE,"2020-12-18T18:20:23Z",32,"Man","0","0","0","0","White","Non-Hispanic",0,7,2,2,2,2,2,3,2,2,2,2,3,3,3,3,2,2,1,1,1,1,4,5,5
"317",6,100,1,1263,TRUE,"2022-02-01T15:16:46Z",41,"Man","0","0","0","0","White","Non-Hispanic",0,5,1,1,2,3,2,4,2,2,2,2,1,1,5,5,2,2,1,2,1,1,6,6,6
"2012",7,100,1,5035,TRUE,"2022-12-19T17:26:39Z",29,"Woman","0","0","0","0","White","Non-Hispanic",NA,NA,2,2,3,3,2,4,3,2,2,2,5,1,4,4,4,4,3,2,1,3,4,4,4
"101",8,100,1,945,TRUE,"2021-04-23T13:11:55Z",23,"Woman","0","0","0","0","White","Non-Hispanic",NA,NA,3,2,2,3,2,3,3,3,3,3,4,1,4,5,3,2,3,3,1,1,5,6,7
"135",9,100,1,1097,TRUE,"2021-08-20T14:25:22Z",60,"Man","0","0","0","0","White","Non-Hispanic",2,22,3,3,3,3,3,3,3,3,2,3,4,2,4,4,1,1,2,1,1,2,7,7,7
"1520",10,100,1,1090,TRUE,"2022-05-26T12:05:16Z",NA,"Man","0","0","0","0","White","Non-Hispanic",1,1,1,2,1,2,1,4,4,3,2,1,2,1,5,5,3,2,1,5,1,1,4,7,7
"312",11,100,1,1046,TRUE,"2022-02-01T15:13:21Z",61,"Man","0","0","0","0","White","Non-Hispanic",39,39,3,2,1,3,3,4,4,3,3,1,4,2,4,3,2,7,2,6,6,4,4,2,2
"171",12,100,1,1204,TRUE,"2021-09-16T14:19:22Z",26,"Man","0","0","0","0","White","Non-Hispanic",2,2,3,2,2,3,2,3,3,3,3,2,3,2,4,4,2,2,1,3,1,2,2,4,4
